,kind,id,etag,selfLink,Title,Authors,volumeInfo.publisher,volumeInfo.publishedDate,volumeInfo.description,volumeInfo.industryIdentifiers,volumeInfo.readingModes.text,volumeInfo.readingModes.image,volumeInfo.pageCount,volumeInfo.printType,volumeInfo.categories,volumeInfo.averageRating,volumeInfo.ratingsCount,volumeInfo.maturityRating,volumeInfo.allowAnonLogging,volumeInfo.contentVersion,volumeInfo.imageLinks.smallThumbnail,volumeInfo.imageLinks.thumbnail,volumeInfo.language,volumeInfo.previewLink,volumeInfo.infoLink,volumeInfo.canonicalVolumeLink,saleInfo.country,saleInfo.saleability,saleInfo.isEbook,accessInfo.country,accessInfo.viewability,accessInfo.embeddable,accessInfo.publicDomain,accessInfo.textToSpeechPermission,accessInfo.epub.isAvailable,accessInfo.pdf.isAvailable,accessInfo.webReaderLink,accessInfo.accessViewStatus,accessInfo.quoteSharingAllowed,searchInfo.textSnippet,volumeInfo.subtitle,volumeInfo.panelizationSummary.containsEpubBubbles,volumeInfo.panelizationSummary.containsImageBubbles,saleInfo.listPrice.amount,saleInfo.listPrice.currencyCode,saleInfo.retailPrice.amount,saleInfo.retailPrice.currencyCode,saleInfo.buyLink,saleInfo.offers,Topic,accessInfo.epub.acsTokenLink,accessInfo.pdf.acsTokenLink
0,books#volume,Chr1NDlUcI8C,sV+DUAG39vM,https://www.googleapis.com/books/v1/volumes/Chr1NDlUcI8C,Python Essential Reference,['David M. Beazley'],Addison-Wesley Professional,2009,Presents a guide to the features and library modules of the Python programming language.,"[{'type': 'ISBN_13', 'identifier': '9780672329784'}, {'type': 'ISBN_10', 'identifier': '0672329786'}]",True,True,717.0,BOOK,['Computers'],4.5,9.0,NOT_MATURE,True,0.3.2.0.preview.3,http://books.google.com/books/content?id=Chr1NDlUcI8C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=Chr1NDlUcI8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.com/books?id=Chr1NDlUcI8C&printsec=frontcover&dq=Python&hl=&cd=1&source=gbs_api,http://books.google.com/books?id=Chr1NDlUcI8C&dq=Python&hl=&source=gbs_api,https://books.google.com/books/about/Python_Essential_Reference.html?hl=&id=Chr1NDlUcI8C,US,NOT_FOR_SALE,False,US,PARTIAL,True,False,ALLOWED_FOR_ACCESSIBILITY,False,False,http://play.google.com/books/reader?id=Chr1NDlUcI8C&hl=&printsec=frontcover&source=gbs_api,SAMPLE,False,Presents a guide to the features and library modules of the Python programming language.,,,,,,,,,,Python,,
1,books#volume,bTUFCAAAQBAJ,g9KRGsmWrGM,https://www.googleapis.com/books/v1/volumes/bTUFCAAAQBAJ,Effective Python,['Brett Slatkin'],Pearson Education,2015,"""It's easy to start writing code with Python: that's why the language is so immensely popular. However, Python has unique strengths, charms, and expressivity that can be hard to grasp at first -- as well as hidden pitfalls that can easily trip you up if you aren't aware of them. Effective Python will help you harness the full power of Python to write exceptionally robust, efficient, maintainable, and well-performing code. Utilizing the concise, scenario-driven style pioneered in Scott Meyers's best-selling Effective C++, Brett Slatkin brings together 53 Python best practices, tips, shortcuts, and realistic code examples from expert programmers. Through realistic examples, Slatkin uncovers little-known Python quirks, intricacies, and idioms that powerfully impact code behavior and performance. You'll learn how to choose the most efficient and effective way to accomplish key tasks when multiple options exist, and how to write code that's easier to understand, maintain, and improve. Drawing on his deep understanding of Python's capabilities, Slatkin offers practical advice for each major area of development with both Python 3.x and Python 2.x. Coverage includes: * Algorithms * Objects * Concurrency * Collaboration * Built-in modules * Production techniques * And more Each section contains specific, actionable guidelines organized into items, each with carefully worded advice supported by detailed technical arguments and illuminating examples. Using Effective Python, you can systematically improve all the Python code you write: not by blindly following rules or mimicking incomprehensible idioms, but by gaining a deep understanding of the technical reasons why they make sense.""--[Source inconnue].","[{'type': 'ISBN_13', 'identifier': '9780134034287'}, {'type': 'ISBN_10', 'identifier': '0134034287'}]",False,True,227.0,BOOK,['Computers'],,,NOT_MATURE,False,preview-1.0.0,http://books.google.com/books/content?id=bTUFCAAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=bTUFCAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.com/books?id=bTUFCAAAQBAJ&printsec=frontcover&dq=Python&hl=&cd=2&source=gbs_api,http://books.google.com/books?id=bTUFCAAAQBAJ&dq=Python&hl=&source=gbs_api,https://books.google.com/books/about/Effective_Python.html?hl=&id=bTUFCAAAQBAJ,US,NOT_FOR_SALE,False,US,PARTIAL,True,False,ALLOWED_FOR_ACCESSIBILITY,False,False,http://play.google.com/books/reader?id=bTUFCAAAQBAJ&hl=&printsec=frontcover&source=gbs_api,SAMPLE,False,"Effective Python will help students harness the full power of Python to write exceptionally robust, efficient, maintainable, and well-performing code.",59 Specific Ways to Write Better Python,False,False,,,,,,,Python,,
2,books#volume,zjqzDAEACAAJ,+1fBkRh/FKY,https://www.googleapis.com/books/v1/volumes/zjqzDAEACAAJ,Python for Everybody,['Charles R. Severance'],,2016-04-09,"Python for Everybody is designed to introduce students to programming and software development through the lens of exploring data. You can think of the Python programming language as your tool to solve data problems that are beyond the capability of a spreadsheet.Python is an easy to use and easy to learn programming language that is freely available on Macintosh, Windows, or Linux computers. So once you learn Python you can use it for the rest of your career without needing to purchase any software.This book uses the Python 3 language. The earlier Python 2 version of this book is titled ""Python for Informatics: Exploring Information"".There are free downloadable electronic copies of this book in various formats and supporting materials for the book at www.pythonlearn.com. The course materials are available to you under a Creative Commons License so you can adapt them to teach your own Python course.","[{'type': 'ISBN_10', 'identifier': '1530051126'}, {'type': 'ISBN_13', 'identifier': '9781530051120'}]",False,False,242.0,BOOK,,5.0,1.0,NOT_MATURE,False,preview-1.0.0,http://books.google.com/books/content?id=zjqzDAEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=zjqzDAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,http://books.google.com/books?id=zjqzDAEACAAJ&dq=Python&hl=&cd=3&source=gbs_api,http://books.google.com/books?id=zjqzDAEACAAJ&dq=Python&hl=&source=gbs_api,https://books.google.com/books/about/Python_for_Everybody.html?hl=&id=zjqzDAEACAAJ,US,NOT_FOR_SALE,False,US,NO_PAGES,False,False,ALLOWED,False,False,http://play.google.com/books/reader?id=zjqzDAEACAAJ&hl=&printsec=frontcover&source=gbs_api,NONE,False,&quot;Designed to teach people to program even if they have no prior experience.,Exploring Data in Python 3,False,False,,,,,,,Python,,
3,books#volume,4pgQfXQvekcC,YaU2XiJEd+g,https://www.googleapis.com/books/v1/volumes/4pgQfXQvekcC,Learning Python,['Mark Lutz'],"""O'Reilly Media, Inc.""",2013-06-12,"Get a comprehensive, in-depth introduction to the core Python language with this hands-on book. Based on author Mark Lutz’s popular training course, this updated fifth edition will help you quickly write efficient, high-quality code with Python. It’s an ideal way to begin, whether you’re new to programming or a professional developer versed in other languages. Complete with quizzes, exercises, and helpful illustrations, this easy-to-follow, self-paced tutorial gets you started with both Python 2.7 and 3.3— the latest releases in the 3.X and 2.X lines—plus all other releases in common use today. You’ll also learn some advanced language features that recently have become more common in Python code. Explore Python’s major built-in object types such as numbers, lists, and dictionaries Create and process objects with Python statements, and learn Python’s general syntax model Use functions to avoid code redundancy and package code for reuse Organize statements, functions, and other tools into larger components with modules Dive into classes: Python’s object-oriented programming tool for structuring code Write large programs with Python’s exception-handling model and development tools Learn advanced Python tools, including decorators, descriptors, metaclasses, and Unicode processing","[{'type': 'ISBN_13', 'identifier': '9781449355692'}, {'type': 'ISBN_10', 'identifier': '1449355692'}]",True,True,1648.0,BOOK,,3.0,5.0,NOT_MATURE,True,1.37.41.0.preview.3,http://books.google.com/books/content?id=4pgQfXQvekcC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=4pgQfXQvekcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.com/books?id=4pgQfXQvekcC&printsec=frontcover&dq=Python&hl=&cd=4&source=gbs_api,https://play.google.com/store/books/details?id=4pgQfXQvekcC&source=gbs_api,https://play.google.com/store/books/details?id=4pgQfXQvekcC,US,FOR_SALE,True,US,PARTIAL,True,False,ALLOWED,True,True,http://play.google.com/books/reader?id=4pgQfXQvekcC&hl=&printsec=frontcover&source=gbs_api,SAMPLE,False,"Get a comprehensive, in-depth introduction to the core Python language with this hands-on book.",Powerful Object-Oriented Programming,False,False,63.99,USD,63.99,USD,https://play.google.com/store/books/details?id=4pgQfXQvekcC&rdid=book-4pgQfXQvekcC&rdot=1&source=gbs_api,"[{'finskyOfferType': 1, 'listPrice': {'amountInMicros': 63990000, 'currencyCode': 'USD'}, 'retailPrice': {'amountInMicros': 63990000, 'currencyCode': 'USD'}, 'giftable': True}]",Python,,
4,books#volume,9MS9BQAAQBAJ,SyVUPIDFu24,https://www.googleapis.com/books/v1/volumes/9MS9BQAAQBAJ,Black Hat Python,['Justin Seitz'],No Starch Press,2014-12-21,"When it comes to creating powerful and effective hacking tools, Python is the language of choice for most security analysts. But just how does the magic happen? In Black Hat Python, the latest from Justin Seitz (author of the best-selling Gray Hat Python), you’ll explore the darker side of Python’s capabilities—writing network sniffers, manipulating packets, infecting virtual machines, creating stealthy trojans, and more. You’ll learn how to: –Create a trojan command-and-control using GitHub –Detect sandboxing and automate com­mon malware tasks, like keylogging and screenshotting –Escalate Windows privileges with creative process control –Use offensive memory forensics tricks to retrieve password hashes and inject shellcode into a virtual machine –Extend the popular Burp Suite web-hacking tool –Abuse Windows COM automation to perform a man-in-the-browser attack –Exfiltrate data from a network most sneakily Insider techniques and creative challenges throughout show you how to extend the hacks and how to write your own exploits. When it comes to offensive security, your ability to create powerful tools on the fly is indispensable. Learn how in Black Hat Python. Uses Python 2","[{'type': 'ISBN_13', 'identifier': '9781593275907'}, {'type': 'ISBN_10', 'identifier': '1593275900'}]",True,True,192.0,BOOK,['Computers'],,,NOT_MATURE,True,1.2.2.0.preview.3,http://books.google.com/books/content?id=9MS9BQAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=9MS9BQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.com/books?id=9MS9BQAAQBAJ&printsec=frontcover&dq=Python&hl=&cd=5&source=gbs_api,http://books.google.com/books?id=9MS9BQAAQBAJ&dq=Python&hl=&source=gbs_api,https://books.google.com/books/about/Black_Hat_Python.html?hl=&id=9MS9BQAAQBAJ,US,NOT_FOR_SALE,False,US,PARTIAL,True,False,ALLOWED,True,True,http://play.google.com/books/reader?id=9MS9BQAAQBAJ&hl=&printsec=frontcover&source=gbs_api,SAMPLE,False,"In Black Hat Python, the latest from Justin Seitz (author of the best-selling Gray Hat Python), you’ll explore the darker side of Python’s capabilities—writing network sniffers, manipulating packets, infecting virtual machines, ...",Python Programming for Hackers and Pentesters,False,False,,,,,,,Python,,
5,books#volume,s_qTvgEACAAJ,3G6ltDk07Zo,https://www.googleapis.com/books/v1/volumes/s_qTvgEACAAJ,Violent Python,"[""TJ O'Connor""]",Syngress,2012-11-22,"Violent Python shows you how to move from a theoretical understanding of offensive computing concepts to a practical implementation. Instead of relying on another attacker's tools, this book will teach you to forge your own weapons using the Python programming language. This book demonstrates how to write Python scripts to automate large-scale network attacks, extract metadata, and investigate forensic artifacts. It also shows how to write code to intercept and analyze network traffic using Python, craft and spoof wireless frames to attack wireless and Bluetooth devices, and how to data-mine popular social media websites and evade modern anti-virus. Demonstrates how to write Python scripts to automate large-scale network attacks, extract metadata, and investigate forensic artifacts Write code to intercept and analyze network traffic using Python. Craft and spoof wireless frames to attack wireless and Bluetooth devices Data-mine popular social media websites and evade modern anti-virus","[{'type': 'ISBN_10', 'identifier': '1597499579'}, {'type': 'ISBN_13', 'identifier': '9781597499576'}]",False,False,288.0,BOOK,['Computers'],,,NOT_MATURE,False,preview-1.0.0,http://books.google.com/books/content?id=s_qTvgEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=s_qTvgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,en,http://books.google.com/books?id=s_qTvgEACAAJ&dq=Python&hl=&cd=6&source=gbs_api,http://books.google.com/books?id=s_qTvgEACAAJ&dq=Python&hl=&source=gbs_api,https://books.google.com/books/about/Violent_Python.html?hl=&id=s_qTvgEACAAJ,US,NOT_FOR_SALE,False,US,NO_PAGES,False,False,ALLOWED,False,False,http://play.google.com/books/reader?id=s_qTvgEACAAJ&hl=&printsec=frontcover&source=gbs_api,NONE,False,"This book demonstrates how to write Python scripts to automate large-scale network attacks, extract metadata, and investigate forensic artifacts.","A Cookbook for Hackers, Forensic Analysts, Penetration Testers and Security Engineers",False,False,,,,,,,Python,,
6,books#volume,RQ6xDwAAQBAJ,PuEkCcqBx7c,https://www.googleapis.com/books/v1/volumes/RQ6xDwAAQBAJ,"Automate the Boring Stuff with Python, 2nd Edition",['Al Sweigart'],No Starch Press,2019-11-12,"The second edition of this best-selling Python book (over 500,000 copies sold!) uses Python 3 to teach even the technically uninclined how to write programs that do in minutes what would take hours to do by hand. There is no prior programming experience required and the book is loved by liberal arts majors and geeks alike. If you've ever spent hours renaming files or updating hundreds of spreadsheet cells, you know how tedious tasks like these can be. But what if you could have your computer do them for you? In this fully revised second edition of the best-selling classic Automate the Boring Stuff with Python, you'll learn how to use Python to write programs that do in minutes what would take you hours to do by hand--no prior programming experience required. You'll learn the basics of Python and explore Python's rich library of modules for performing specific tasks, like scraping data off websites, reading PDF and Word documents, and automating clicking and typing tasks. The second edition of this international fan favorite includes a brand-new chapter on input validation, as well as tutorials on automating Gmail and Google Sheets, plus tips on automatically updating CSV files. You'll learn how to create programs that effortlessly perform useful feats of automation to: • Search for text in a file or across multiple files • Create, update, move, and rename files and folders • Search the Web and download online content • Update and format data in Excel spreadsheets of any size • Split, merge, watermark, and encrypt PDFs • Send email responses and text notifications • Fill out online forms Step-by-step instructions walk you through each program, and updated practice projects at the end of each chapter challenge you to improve those programs and use your newfound skills to automate similar tasks. Don't spend your time doing work a well-trained monkey could do. Even if you've never written a line of code, you can make your computer do the grunt work. Learn how in Automate the Boring Stuff with Python, 2nd Edition.","[{'type': 'ISBN_13', 'identifier': '9781593279936'}, {'type': 'ISBN_10', 'identifier': '1593279930'}]",True,False,592.0,BOOK,['Computers'],4.5,2.0,NOT_MATURE,True,1.2.2.0.preview.2,http://books.google.com/books/content?id=RQ6xDwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=RQ6xDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.com/books?id=RQ6xDwAAQBAJ&printsec=frontcover&dq=Python&hl=&cd=7&source=gbs_api,https://play.google.com/store/books/details?id=RQ6xDwAAQBAJ&source=gbs_api,https://play.google.com/store/books/details?id=RQ6xDwAAQBAJ,US,FOR_SALE,True,US,PARTIAL,True,False,ALLOWED,True,False,http://play.google.com/books/reader?id=RQ6xDwAAQBAJ&hl=&printsec=frontcover&source=gbs_api,SAMPLE,False,"The second edition of this best-selling Python book (over 500,000 copies sold!) uses Python 3 to teach even the technically uninclined how to write programs that do in minutes what would take hours to do by hand.",Practical Programming for Total Beginners,False,False,23.99,USD,23.99,USD,https://play.google.com/store/books/details?id=RQ6xDwAAQBAJ&rdid=book-RQ6xDwAAQBAJ&rdot=1&source=gbs_api,"[{'finskyOfferType': 1, 'listPrice': {'amountInMicros': 23990000, 'currencyCode': 'USD'}, 'retailPrice': {'amountInMicros': 23990000, 'currencyCode': 'USD'}, 'giftable': True}]",Python,,
7,books#volume,aJQILlLxRmAC,fbYTM7n2gVw,https://www.googleapis.com/books/v1/volumes/aJQILlLxRmAC,Python Programming,['John M. Zelle'],"Franklin, Beedle & Associates, Inc.",2004,"This book is suitable for use in a university-level first course in computing (CS1), as well as the increasingly popular course known as CS0. It is difficult for many students to master basic concepts in computer science and programming. A large portion of the confusion can be blamed on the complexity of the tools and materials that are traditionally used to teach CS1 and CS2. This textbook was written with a single overarching goal: to present the core concepts of computer science as simply as possible without being simplistic.","[{'type': 'ISBN_13', 'identifier': '9781887902991'}, {'type': 'ISBN_10', 'identifier': '1887902996'}]",False,True,517.0,BOOK,['Computers'],4.0,20.0,NOT_MATURE,False,preview-1.0.0,http://books.google.com/books/content?id=aJQILlLxRmAC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=aJQILlLxRmAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.com/books?id=aJQILlLxRmAC&printsec=frontcover&dq=Python&hl=&cd=8&source=gbs_api,http://books.google.com/books?id=aJQILlLxRmAC&dq=Python&hl=&source=gbs_api,https://books.google.com/books/about/Python_Programming.html?hl=&id=aJQILlLxRmAC,US,NOT_FOR_SALE,False,US,PARTIAL,True,False,ALLOWED,False,False,http://play.google.com/books/reader?id=aJQILlLxRmAC&hl=&printsec=frontcover&source=gbs_api,SAMPLE,False,"This book is suitable for use in a university-level first course in computing (CS1), as well as the increasingly popular course known as CS0.",An Introduction to Computer Science,,,,,,,,,Python,,
8,books#volume,ZPneDQAAQBAJ,ZfSe5L4rUd0,https://www.googleapis.com/books/v1/volumes/ZPneDQAAQBAJ,"Invent Your Own Computer Games with Python, 4E",['Al Sweigart'],No Starch Press,2016-12-16,"Invent Your Own Computer Games with Python will teach you how to make computer games using the popular Python programming language—even if you’ve never programmed before! Begin by building classic games like Hangman, Guess the Number, and Tic-Tac-Toe, and then work your way up to more advanced games, like a text-based treasure hunting game and an animated collision-dodging game with sound effects. Along the way, you’ll learn key programming and math concepts that will help you take your game programming to the next level. Learn how to: –Combine loops, variables, and flow control statements into real working programs –Choose the right data structures for the job, such as lists, dictionaries, and tuples –Add graphics and animation to your games with the pygame module –Handle keyboard and mouse input –Program simple artificial intelligence so you can play against the computer –Use cryptography to convert text messages into secret code –Debug your programs and find common errors As you work through each game, you’ll build a solid foundation in Python and an understanding of computer science fundamentals. What new game will you create with the power of Python? The projects in this book are compatible with Python 3.","[{'type': 'ISBN_13', 'identifier': '9781593277956'}, {'type': 'ISBN_10', 'identifier': '1593277954'}]",True,True,376.0,BOOK,['Computers'],,,NOT_MATURE,True,2.2.2.0.preview.3,http://books.google.com/books/content?id=ZPneDQAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=ZPneDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.com/books?id=ZPneDQAAQBAJ&printsec=frontcover&dq=Python&hl=&cd=9&source=gbs_api,http://books.google.com/books?id=ZPneDQAAQBAJ&dq=Python&hl=&source=gbs_api,https://books.google.com/books/about/Invent_Your_Own_Computer_Games_with_Pyth.html?hl=&id=ZPneDQAAQBAJ,US,NOT_FOR_SALE,False,US,PARTIAL,True,False,ALLOWED,True,True,http://play.google.com/books/reader?id=ZPneDQAAQBAJ&hl=&printsec=frontcover&source=gbs_api,SAMPLE,False,What new game will you create with the power of Python? The projects in this book are compatible with Python 3.,,False,False,,,,,,,Python,,
9,books#volume,H9emM_LGFDEC,FIMu7canRJk,https://www.googleapis.com/books/v1/volumes/H9emM_LGFDEC,Programming in Python 3,['Mark Summerfield'],Addison-Wesley Professional,2010,"Practical Python 3 for experienced developers: use the right idioms, techniques, and features to write great code * *Written from a completely 'Python 3' point of view: teaches best practices for making the most of today's newest version of Python. *Designed to help developers get productive fast... then learn how to write any program, use any library, create any library module. *Includes expert guidance on migrating Python 2 code to Python 3. Around the world, programmers appreciate Python for its simplicity, power, expressiveness, and the sheer pleasure of writing Python code. Python 3.1 is the newest and best version of the language yet: more convenient, more consistent, and easier to use. Mark Summerfield demonstrates how to write code that takes full advantage of the latest Python 3 features and idioms. Programming in Python 3, 2/e, brings together all the knowledge needed to write programs, use any library, and even create new library modules. The book teaches every aspect of the Python 3 language. It covers all the built-in functionality, as well as key components of Python's standard library. Structured so readers can write Python programs from chapter 1, each subsequent chapter provides further depth and broader coverage. Two new chapters have been added to this edition increasing the coverage to include parsing, debugging, testing, and profiling. Readers will master Python procedural and object-oriented techniques; creation of custom modules and packages; writing and reading files; multithreading; networking; database programming; GUIs; regular expressions; application debugging, testing, and profiling; and more. Detailed appendices include coverage of migrating applications from Python 2 to Python 3, plus a complete language reference. All sample code has been tested with the final version of Python 3 on Windows, Linux, and Mac OS X.","[{'type': 'ISBN_13', 'identifier': '9780321680563'}, {'type': 'ISBN_10', 'identifier': '0321680561'}]",False,True,630.0,BOOK,['Computers'],,,NOT_MATURE,False,preview-1.0.0,http://books.google.com/books/content?id=H9emM_LGFDEC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=H9emM_LGFDEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,en,http://books.google.com/books?id=H9emM_LGFDEC&printsec=frontcover&dq=Python&hl=&cd=10&source=gbs_api,http://books.google.com/books?id=H9emM_LGFDEC&dq=Python&hl=&source=gbs_api,https://books.google.com/books/about/Programming_in_Python_3.html?hl=&id=H9emM_LGFDEC,US,NOT_FOR_SALE,False,US,PARTIAL,True,False,ALLOWED_FOR_ACCESSIBILITY,False,False,http://play.google.com/books/reader?id=H9emM_LGFDEC&hl=&printsec=frontcover&source=gbs_api,SAMPLE,False,"Now fully updated, this edition brings together all the knowledge needed to write programs, use any library, and even create new library modules.",A Complete Introduction to the Python Language,,,,,,,,,Python,,
